period,regime,signal_date,asset_code,asset_name,entry_date,exit_date,ret,pnl_krw,reason
pre,BULL,2021-04-16,090355,노루페인트우,2021-04-26,2021-04-27,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2021-06-11,010470,오리콤,2021-06-21,2021-06-23,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2021-06-18,000680,LS네트웍스,2021-06-28,2021-07-07,0.07027586206896551,7027586.206896551,TRAIL
pre,BULL,2021-07-02,069410,엔텔스,2021-07-12,2021-07-22,0.007948905109489052,794890.5109489053,TRAIL
pre,SIDEWAYS,2021-08-06,015260,에이엔피,2021-08-17,2021-08-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2021-09-06,138490,코오롱플라스틱,2021-09-14,2021-10-06,0.32641176470588235,32641176.470588233,TRAIL
pre,BEAR,2021-10-26,150840,인트로메딕,2021-11-03,2021-11-04,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2021-11-24,078350,한양디지텍,2021-12-02,2022-02-15,0.05864383561643835,5864383.561643835,TRAIL
pre,SIDEWAYS,2021-11-24,030520,한글과컴퓨터,2021-12-02,2021-12-07,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2021-11-24,301300,바이브컴퍼니,2021-12-02,2021-12-07,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2021-11-24,004250,NPC,2021-12-02,2022-01-12,0.3639172932330827,36391729.32330827,TRAIL
pre,SIDEWAYS,2021-11-25,083450,GST,2021-12-03,2022-01-17,-0.00019101123595505632,-19101.123595505633,MAX
train,BEAR,2022-07-20,388050,지투파워,2022-07-28,2022-08-09,-0.123,-12300000.0,STOP
train,BULL,2022-11-09,032190,다우데이타,2022-11-17,2023-02-14,1.1680526315789475,116805263.15789475,MAX
train,BULL,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,109543400.4474273,MAX
train,BULL,2023-01-19,304100,솔트룩스,2023-01-31,2023-02-01,-0.063,-6300000.0,EARLY_FAIL_CLOSE
train,BULL,2023-01-19,402030,코난테크놀로지,2023-02-01,2023-02-03,-0.063,-6300000.0,EARLY_FAIL_CLOSE
train,BULL,2023-01-20,093640,다믈멀티미디어,2023-02-01,2023-02-24,-0.123,-12300000.0,STOP
train,BULL,2023-01-20,003530,한화투자증권,2023-02-01,2023-03-03,-0.123,-12300000.0,STOP
train,BULL,2023-01-31,011420,갤럭시아에스엠,2023-02-08,2023-02-21,-0.09442857142857143,-9442857.142857144,TRAIL
train,BULL,2023-02-01,314140,알피바이오,2023-02-09,2023-03-10,-0.123,-12300000.0,STOP
train,BULL,2023-02-14,247540,에코프로비엠,2023-02-22,2023-04-26,0.521198617221873,52119861.7221873,TRAIL
train,BULL,2023-03-24,042600,새로닉스,2023-04-03,2023-04-12,0.18554415274463007,18554415.274463005,TRAIL
train,BULL,2023-03-29,064520,테크엘,2023-04-06,2023-04-28,-0.123,-12300000.0,STOP
train,BULL,2023-04-03,131400,이브이첨단소재,2023-04-11,2023-04-13,-0.123,-12300000.0,STOP
train,BULL,2023-04-04,140410,메지온,2023-04-12,2023-05-26,0.44557142857142856,44557142.85714286,MAX
