variant,tier,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,rel_ret60
no_regime_t,bull,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,0.3294064964899603
no_regime_t,bull,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.6741028662141343
no_regime_t,bull,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP,1.0178429916204284
no_regime_t,bear,pre,2018-06-29,138360,에이씨티,2018-07-09,2018-07-11,-0.053000000000000005,EARLY_FAIL,1.4200822390293342
no_regime_t,bear,pre,2018-11-13,138080,오이솔루션,2018-11-21,2018-12-19,-0.006484320557491289,MAX,0.3928284036356553
no_regime_t,bear,pre,2019-01-04,051630,진양화학,2019-01-14,2019-01-17,-0.053000000000000005,EARLY_FAIL,2.118872948202239
no_regime_t,mixed,pre,2019-03-07,025540,한국단자,2019-03-15,2019-05-07,-0.06518487394957984,MAX,0.3506710100030742
no_regime_t,bull,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.5549056088736649
no_regime_t,bull,pre,2020-04-07,270870,뉴트리,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.5103336457433088
no_regime_t,bull,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.6593421727402581
no_regime_t,bull,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.3732371202060558
no_regime_t,bull,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.2720909323061863
no_regime_t,bull,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.3979424828413718
no_regime_t,mixed,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-04,2021-06-07,-0.063,EARLY_FAIL,0.6357133908211975
no_regime_t,bull,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.909580039110724
no_regime_t,bear,pre,2022-01-11,009810,플레이그램,2022-01-19,2022-01-25,-0.10300000000000001,STOP,0.26637460587757916
no_regime_t,bear,pre,2022-02-18,215100,로보로보,2022-02-28,2022-03-03,-0.053000000000000005,EARLY_FAIL,1.5034684903580615
no_regime_t,bear,pre,2022-04-12,039610,화성밸브,2022-04-20,2022-04-25,-0.053000000000000005,EARLY_FAIL,0.35915363810026973
no_regime_t,bear,train,2022-05-25,306620,네온테크,2022-06-03,2022-06-08,-0.053000000000000005,EARLY_FAIL,0.5431046818880713
no_regime_t,bear,train,2022-08-23,001570,금양,2022-08-31,2022-09-08,0.4758135593220339,TRAIL,1.3601534029264033
no_regime_t,bull,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.595755529705043
no_regime_t,mixed,train,2023-02-23,272290,이녹스첨단소재,2023-03-06,2023-03-09,-0.063,EARLY_FAIL,0.34522712297906377
no_regime_t,mixed,train,2023-03-17,234920,자이글,2023-03-27,2023-04-04,1.1541428571428574,TRAIL,0.29890407929321705
no_regime_t,mixed,train,2023-04-28,106080,하이소닉,2023-05-10,2023-06-02,-0.123,STOP,13.513704055329653
no_regime_t,bull,train,2023-06-15,085620,미래에셋생명,2023-06-23,2023-08-04,0.020545706371191137,MAX,0.22281642542147495
no_regime_t,mixed,train,2024-02-07,000540,흥국화재,2024-02-19,2024-02-22,-0.063,EARLY_FAIL,0.33896084869695153
no_regime_t,bull,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX,0.3272327006537795
no_regime_t,bear,train,2024-12-05,230240,에치에프알,2024-12-13,2025-01-09,0.10078006872852234,TRAIL,0.6744850558966463
no_regime_t,bull,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.2500223906556801
no_regime_t,bull,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.6622437278115749
no_regime_t,mixed,post,2025-08-20,092460,한라IMS,2025-08-28,2025-09-22,0.21835007849293564,TRAIL,0.05003710139581116
no_regime_t,bull,post,2025-09-24,036010,아비코전자,2025-10-02,2025-10-14,-0.063,EARLY_FAIL,0.5665013136057774
no_regime_t,bull,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,1.368497999617459
kospi_ma60,bull,pre,2012-06-12,044380,주연테크,2012-06-20,2012-06-27,0.018021021021021023,TRAIL,0.43097169703557603
kospi_ma60,bull,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2796015899375021
kospi_ma60,mixed,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP,0.6741733425439157
kospi_ma60,bull,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.6817603145796336
kospi_ma60,bull,pre,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.524114510503124
kospi_ma60,bull,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.28209358832621345
kospi_ma60,mixed,pre,2014-05-29,091090,세원셀론텍,2014-06-10,2014-07-22,-0.061309037900874636,MAX,0.29749295517792995
kospi_ma60,mixed,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-13,0.25672222222222224,TRAIL,0.5930122789953284
kospi_ma60,bull,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.36926920283112136
kospi_ma60,bull,pre,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,1.45551004784013
kospi_ma60,bull,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.5944537689954211
kospi_ma60,bull,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,1.454384352972773
kospi_ma60,bull,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,1.3485594456740644
kospi_ma60,bull,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,1.3060007390170436
kospi_ma60,mixed,pre,2016-08-23,014910,성문전자,2016-08-31,2016-09-12,0.13153815261044177,TRAIL,0.3820647199659678
kospi_ma60,bull,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP,0.5425160660407056
kospi_ma60,bull,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.30921075405707427
kospi_ma60,mixed,pre,2017-02-09,083650,비에이치아이,2017-02-17,2017-04-03,0.01827659574468085,MAX,0.5436250957867398
kospi_ma60,bull,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,0.3294064964899603
kospi_ma60,bull,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.6741028662141343
kospi_ma60,bull,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP,1.0178429916204284
kospi_ma60,bull,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL,0.8401296929858928
kospi_ma60,mixed,pre,2019-03-07,025540,한국단자,2019-03-15,2019-04-26,-0.02652941176470588,MAX,0.3506710100030742
kospi_ma60,bull,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.5549056088736649
kospi_ma60,bull,pre,2020-04-07,270870,뉴트리,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.5103336457433088
kospi_ma60,bull,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.6593421727402581
kospi_ma60,bull,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.3732371202060558
kospi_ma60,bull,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.2720909323061863
kospi_ma60,bull,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.3979424828413718
kospi_ma60,mixed,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-04,2021-06-07,-0.063,EARLY_FAIL,0.6357133908211975
kospi_ma60,bull,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.909580039110724
kospi_ma60,bull,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.595755529705043
kospi_ma60,mixed,train,2023-02-23,272290,이녹스첨단소재,2023-03-06,2023-03-09,-0.063,EARLY_FAIL,0.34522712297906377
kospi_ma60,mixed,train,2023-03-17,234920,자이글,2023-03-27,2023-04-04,1.1541428571428574,TRAIL,0.29890407929321705
kospi_ma60,mixed,train,2023-04-28,106080,하이소닉,2023-05-10,2023-06-02,-0.123,STOP,13.513704055329653
kospi_ma60,bull,train,2023-06-15,085620,미래에셋생명,2023-06-23,2023-08-04,0.020545706371191137,MAX,0.22281642542147495
kospi_ma60,mixed,train,2024-02-07,000540,흥국화재,2024-02-19,2024-02-22,-0.063,EARLY_FAIL,0.33896084869695153
kospi_ma60,bull,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX,0.3272327006537795
kospi_ma60,bull,train,2024-12-12,285490,노바텍,2024-12-20,2024-12-26,-0.063,EARLY_FAIL,0.2262915039011231
kospi_ma60,bull,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.2500223906556801
kospi_ma60,bull,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.6622437278115749
